DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EL,2010,1.48,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EL,2011,1.40,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EL,2012,1.34,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EL,2013,1.29,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EL,2014,1.30,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EL,2015,1.33,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EL,2016,1.38,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EL,2017,1.35,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EL,2018,1.35,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EL,2019,1.34,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,EL,2020,1.39,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,ES,2009,1.38,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,ES,2010,1.37,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,ES,2011,1.34,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,ES,2012,1.32,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,ES,2013,1.27,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,ES,2014,1.32,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,ES,2015,1.33,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,ES,2016,1.34,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,ES,2017,1.31,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,ES,2018,1.26,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,ES,2019,1.23,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,ES,2020,1.19,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FI,2009,1.86,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FI,2010,1.87,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FI,2011,1.83,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FI,2012,1.80,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FI,2013,1.75,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FI,2014,1.71,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FI,2015,1.65,
ESTAT:TPS00199(1.0),22/06/22 23:00:00,A,TOTFERRT,FI,2016,1.57,
