DATAFLOW,LAST UPDATE,freq,age,sex,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,FR,2020,21726,b
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,HR,2012,5377,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,HR,2013,5078,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,HR,2014,5225,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,HR,2015,5453,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,HR,2016,5726,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,HR,2017,6210,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,HR,2018,6659,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,HR,2019,7306,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,HR,2020,7892,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,HR,2021,8061,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,HU,2012,4696,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,HU,2013,4449,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,HU,2014,4512,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,HU,2015,4556,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,HU,2016,4768,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,HU,2017,4988,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,HU,2018,5424,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,HU,2019,5852,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,HU,2020,6478,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,IE,2012,19648,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,IE,2013,19856,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,IE,2014,20171,
ESTAT:ILC_DI03(1.0),27/07/22 23:00:00,A,TOTAL,T,MED_E,EUR,IE,2015,21629,
