DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,HR,2014,50.0,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,HR,2015,51.6,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,HR,2016,52.4,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,HR,2017,54.0,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,HR,2018,55.9,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,HR,2019,57.1,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,HR,2020,56.9,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,HR,2021,58.6,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,HU,2012,55.7,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,HU,2013,56.6,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,HU,2014,59.5,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,HU,2015,61.5,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,HU,2016,64.2,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,HU,2017,65.2,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,HU,2018,66.6,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,HU,2019,67.1,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,HU,2020,66.8,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,HU,2021,68.2,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IE,2012,56.2,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IE,2013,57.1,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IE,2014,58.0,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IE,2015,59.3,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IE,2016,61.1,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IE,2017,62.3,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IE,2018,63.0,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IE,2019,64.0,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IE,2020,60.9,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IE,2021,65.5,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IS,2012,77.8,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IS,2013,79.0,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IS,2014,80.5,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IS,2015,82.3,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IS,2016,83.6,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IS,2017,83.5,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IS,2018,82.5,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IS,2019,81.9,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IS,2020,77.8,b
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IS,2021,76.8,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IT,2012,46.8,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IT,2013,46.2,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IT,2014,46.7,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IT,2015,47.0,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IT,2016,48.0,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IT,2017,48.9,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IT,2018,49.5,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IT,2019,50.2,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IT,2020,48.4,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IT,2021,49.4,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LT,2012,61.8,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LT,2013,62.8,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LT,2014,64.9,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LT,2015,66.5,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LT,2016,68.8,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LT,2017,70.2,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LT,2018,71.6,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LT,2019,72.5,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LT,2020,71.0,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LT,2021,71.9,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LU,2012,59.0,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LU,2013,59.1,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LU,2014,60.5,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LU,2015,60.8,b
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LU,2016,60.4,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LU,2017,62.5,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LU,2018,63.4,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LU,2019,63.6,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LU,2020,63.9,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LU,2021,66.0,
ESTAT:LFSI_EMP_A(1.0),11/07/22 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LV,2012,61.5,
