DATAFLOW,LAST UPDATE,freq,spdep,spscheme,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EE,2019,374.40,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EL,2010,188.39,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EL,2011,170.96,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EL,2012,143.85,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EL,2013,102.38,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EL,2014,87.35,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EL,2015,78.49,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EL,2016,81.22,
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EL,2017,75.28,p
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EL,2018,77.31,p
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,EL,2019,115.29,p
ESTAT:SPR_EXP_FFA$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,SNONTARGETNOREROUTE,TOTAL,EUR_HAB_KP10,ES,2010,260.77,
