DATAFLOW,LAST UPDATE,freq,unit,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EA19,2016,606914,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EA19,2017,607936,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EA19,2018,616158,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EA19,2019,623388,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EA19,2020,608878,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EE,2011,1456,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EE,2012,1429,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EE,2013,665,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EE,2014,667,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EE,2015,801,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EE,2016,1332,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EE,2017,1268,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EE,2018,1349,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EE,2019,1368,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EE,2020,1243,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EEA30_2007,2013,705349,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EEA30_2007,2014,731722,e
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EEA30_2007,2015,755113,e
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EEA30_2007,2016,805953,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EEA30_2007,2017,808029,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EEA30_2007,2018,811559,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EEA31,2013,705876,
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EEA31,2014,732360,e
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EEA31,2015,755708,e
ESTAT:DEMO_FACZC$DEFAULTVIEW(1.0),22/06/22 23:00:00,A,NR,TOTAL,FOR,EEA31,2016,806548,
